"customer_id";"email";"first_name";"last_name";"age";"gender";"country";"acquisition_source";"signup_date";"is_subscribed";"customer_segment"
1;"user1@outlook.com";"Sarah";"Brown";26;"";"United States";"organic_search";"2024-10-16";1;"Premium"
3;"user3@gmail.com";"John";"Williams";0;"";"United States";"social_media";"2023-10-12";0;"Basic"
4;"user4@yahoo.com";"Emily";"Davis";0;"";"United Kingdom";"paid_search";"2023-04-15";0;"Premium"
6;"user6@gmail.com";"John";"Jones";0;"";"Canada";"email";"2023-08-27";0;"Unassigned"
7;"user7@gmail.com";"Jane";"Williams";0;"";"United Kingdom";"email";"2023-10-01";1;"Unassigned"
8;"user8@gmail.com";"Emily";"Smith";32;"";"Canada";"referral";"2024-05-12";0;"Standard"
9;"user9@gmail.com";"Emily";"Brown";0;"";"United Kingdom";"paid_search";"2024-08-03";1;"Standard"
11;"user11@gmail.com";"Jane";"Smith";73;"";"United States";"email";"2023-05-22";0;"Premium"
12;"user12@gmail.com";"Jane";"Jones";53;"";"United Kingdom";"direct";"2024-01-26";0;"Premium"
13;"user13@gmail.com";"Jane";"Smith";0;"";"United States";"referral";"2023-10-28";0;"Unassigned"
15;"user15@gmail.com";"Jane";"Davis";0;"";"United States";"email";"2023-11-28";0;"Premium"
18;"user18@yahoo.com";"Emily";"Smith";25;"";"United Kingdom";"paid_search";"2023-05-04";1;"Premium"
19;"user19@gmail.com";"Sarah";"Johnson";75;"";"United States";"organic_search";"2024-12-25";0;"Basic"
22;"user22@gmail.com";"Jane";"Brown";0;"";"United Kingdom";"email";"2023-12-14";1;"Standard"
24;"user24@company.org";"Jane";"Brown";0;"";"United States";"organic_search";"2023-08-31";1;"Premium"
25;"user25@gmail.com";"Jane";"Jones";25;"";"United States";"paid_search";"2023-09-29";1;"Standard"
27;"user27@yahoo.com";"Mike";"Johnson";56;"";"Canada";"email";"2024-06-27";0;"Standard"
28;"user28@yahoo.com";"John";"Davis";0;"";"United States";"paid_search";"2024-08-31";1;"Standard"
29;"user29@gmail.com";"Jane";"Davis";66;"";"United Kingdom";"paid_search";"2024-11-18";0;"Premium"
30;"user30@outlook.com";"Mike";"Davis";74;"";"Canada";"email";"2024-04-07";1;"Premium"
32;"user32@gmail.com";"Mike";"Jones";25;"";"Canada";"email";"2023-04-20";1;"Standard"
38;"user38@company.org";"Emily";"Jones";0;"";"United States";"email";"2024-04-26";1;"Basic"
39;"user39@gmail.com";"David";"Davis";25;"";"United Kingdom";"social_media";"2023-10-13";1;"Premium"
40;"user40@outlook.com";"John";"Johnson";0;"";"Canada";"organic_search";"2023-09-25";0;"Premium"
41;"user41@gmail.com";"Sarah";"Jones";0;"";"United Kingdom";"email";"2024-01-30";0;"Basic"
44;"user44@gmail.com";"David";"Jones";0;"";"United Kingdom";"direct";"2024-07-15";0;"Premium"
46;"user46@gmail.com";"Sarah";"Brown";27;"";"United States";"social_media";"2023-08-29";0;"Premium"
48;"user48@yahoo.com";"John";"Brown";25;"";"United States";"paid_search";"2024-12-05";0;"Premium"
51;"user51@outlook.com";"Sarah";"Jones";0;"";"United States";"direct";"2024-03-26";1;"Standard"
52;"user52@gmail.com";"Sarah";"Johnson";0;"";"United Kingdom";"social_media";"2024-01-28";1;"Premium"
53;"user53@gmail.com";"John";"Smith";25;"";"United Kingdom";"direct";"2023-07-31";0;"Basic"
54;"user54@gmail.com";"John";"Brown";0;"";"Canada";"referral";"2024-02-04";1;"Premium"
55;"user55@gmail.com";"John";"Williams";0;"";"United Kingdom";"paid_search";"2023-12-11";1;"Premium"
56;"user56@gmail.com";"John";"Johnson";0;"";"United Kingdom";"direct";"2024-08-29";1;"Basic"
57;"user57@gmail.com";"Jane";"Davis";0;"";"Canada";"email";"2024-01-24";0;"Premium"
58;"user58@gmail.com";"John";"Davis";32;"";"United States";"email";"2023-01-20";0;"Premium"
59;"user59@hotmail.com";"Jane";"Johnson";0;"";"United States";"email";"2024-09-28";1;"Standard"
60;"user60@gmail.com";"Jane";"Williams";37;"";"United States";"organic_search";"2024-09-13";1;"Premium"
61;"user61@hotmail.com";"Jane";"Jones";25;"";"United Kingdom";"organic_search";"2023-07-23";0;"Standard"
62;"user62@gmail.com";"Jane";"Davis";0;"";"United States";"organic_search";"2024-03-14";0;"Unassigned"
63;"user63@gmail.com";"John";"Williams";25;"";"United Kingdom";"referral";"2024-04-15";0;"Premium"
65;"user65@gmail.com";"John";"Davis";0;"";"United States";"organic_search";"2024-08-06";0;"Basic"
