customer_id,email,first_name,last_name,age,gender,country,acquisition_source,signup_date,is_subscribed,customer_segment
1,user1@outlook.com,Sarah,Brown,26,,US,organic_search,10-16-2024,True,Premium
2,user2@hotmail.com,,Smith,,,CA,direct,01/31/2023,False,STANDARD
3,user3@gmail.com,John,Williams,150,female,U.S.A,social_media,10/12/2023,No,Basic
4,user4@yahoo.com,Emily,davis,-5,M,UK,paid_search,04-15-2023,0,premium
5,user5@gmail.com,,davis,,F,USA,email,03/22/2023,TRUE,Premium
6,user6@gmail.com,JOHN,JONES,-5,Male,Canada,email,27-08-2023,No,
7,user7@gmail.com,Jane,Williams,,Male,UK,email,2023/10/01,TRUE,
8,user8@gmail.com,Emily,Smith,32,female,CA,referral,05-12-2024,0,Standard
9,user9@gmail.com,Emily,Brown,150,m,UK,paid_search,08/03/2024,TRUE,Standard
10,user10@gmail.com,,JONES,twenty-five,m,GB,social_media,2023/09/10,FALSE,Standard
11,user11@gmail.com,Jane,Smith,73,Male,United States,email,2023/05/22,0,premium
12,user12@gmail.com,jane,JONES,53,F,United Kingdom,direct,26-01-2024,FALSE,Premium
13,user13@gmail.com,jane,Smith,-5,,United States,referral,10-28-2023,0,
14,user14@gmail.com,,Brown,-5,Male,United Kingdom,email,11-02-2023,1,STANDARD
15,user15@gmail.com,Jane,davis,-5,Female,USA,email,11/28/2023,0,Premium
16,user16@gmail.com,,Williams,150,,United States,email,12-05-2024,,STANDARD
17,user17@gmail.com,,Brown,-5,m,Canada,organic_search,2024/03/09,,premium
18,user18@yahoo.com,Emily,Smith,twenty-five,Female,GB,paid_search,05/04/2023,1,Premium
19,user19@gmail.com,Sarah,Johnson,75,female,US,organic_search,12-25-2024,No,Basic
20,user20@gmail.com,,Williams,twenty-five,,UK,organic_search,11/16/2024,False,premium
21,user21@company.org,Emily,,150,M,US,paid_search,2023-07-14,True,
22,user22@gmail.com,Jane,Brown,,,UK,email,12/14/2023,True,Standard
23,user23@gmail.com,Jane,,twenty-five,F,USA,organic_search,10-13-2023,1,Premium
24,user24@company.org,jane,Brown,150,M,United States,organic_search,2023/08/31,1,premium
25,user25@gmail.com,jane,JONES,twenty-five,f,United States,paid_search,09/29/2023,TRUE,Standard
26,user26@gmail.com,,Smith,-5,M,USA,social_media,03-01-2023,False,STANDARD
27,user27@yahoo.com,Mike,Johnson,56,Female,CA,email,2024-06-27,No,STANDARD
28,user28@yahoo.com,JOHN,davis,,female,usa,paid_search,31-08-2024,True,Standard
29,user29@gmail.com,jane,davis,66,M,UK,paid_search,11-18-2024,0,Premium
30,user30@outlook.com,Mike,davis,74,Female,Canada,email,04-07-2024,Yes,premium
31,user31@gmail.com,,Smith,twenty-five,male,US,paid_search,07/10/2024,TRUE,Premium
32,user32@gmail.com,Mike,JONES,twenty-five,Female,Canada,email,04/20/2023,TRUE,STANDARD
33,user33@yahoo.com,Jane,,-5,M,USA,email,15-05-2024,Yes,
34,user34@company.org,,,53,F,US,direct,09/26/2023,,Premium
35,user35@gmail.com,Mike,,26,male,Canada,direct,2024-01-14,FALSE,Standard
36,user36@yahoo.com,Emily,,,Female,United States,referral,11/29/2024,True,Premium
37,user37@gmail.com,Emily,,,male,United States,organic_search,2023-07-03,True,Premium
38,user38@company.org,Emily,JONES,,Female,USA,email,04/26/2024,True,Basic
39,user39@gmail.com,David,davis,twenty-five,m,United Kingdom,social_media,13-10-2023,1,Premium
40,user40@outlook.com,John,Johnson,150,female,Canada,organic_search,2023/09/25,,Premium
41,user41@gmail.com,Sarah,JONES,150,M,United Kingdom,email,01-30-2024,No,Basic
42,user42@outlook.com,,davis,60,male,United Kingdom,paid_search,17-03-2024,True,Basic
43,user43@gmail.com,,Williams,150,m,United States,email,02-17-2024,TRUE,premium
44,user44@gmail.com,David,JONES,150,,GB,direct,15-07-2024,False,premium
45,user45@gmail.com,,,,F,U.S.A,organic_search,03-28-2024,FALSE,Premium
46,user46@gmail.com,Sarah,Brown,27,M,usa,social_media,2023/08/29,0,premium
47,user47@gmail.com,,Brown,150,f,CA,organic_search,02/29/2024,Yes,
48,user48@yahoo.com,JOHN,Brown,twenty-five,f,USA,paid_search,12-05-2024,No,Premium
49,user49@company.org,,davis,150,,United Kingdom,paid_search,2024/04/12,,premium
50,user50@gmail.com,jane,,,male,United Kingdom,email,2023/06/12,No,Basic
51,user51@outlook.com,Sarah,JONES,-5,,US,direct,03/26/2024,Yes,Standard
52,user52@gmail.com,Sarah,Johnson,150,female,United Kingdom,social_media,2024/01/28,True,Premium
53,user53@gmail.com,JOHN,Smith,twenty-five,m,UK,direct,2023-07-31,FALSE,Basic
54,user54@gmail.com,JOHN,Brown,,male,CA,referral,2024/02/04,1,premium
55,user55@gmail.com,JOHN,Williams,150,Male,GB,paid_search,12-11-2023,1,premium
56,user56@gmail.com,John,Johnson,150,Male,UK,direct,08/29/2024,1,Basic
57,user57@gmail.com,jane,davis,150,male,CA,email,24-01-2024,0,premium
58,user58@gmail.com,John,davis,32,M,USA,email,01/20/2023,No,Premium
59,user59@hotmail.com,jane,Johnson,,f,U.S.A,email,28-09-2024,Yes,STANDARD
60,user60@gmail.com,Jane,Williams,37,,USA,organic_search,13-09-2024,True,premium
61,user61@hotmail.com,Jane,JONES,twenty-five,F,GB,organic_search,2023-07-23,FALSE,STANDARD
62,user62@gmail.com,Jane,davis,150,f,US,organic_search,2024/03/14,FALSE,
63,user63@gmail.com,JOHN,Williams,twenty-five,male,GB,referral,04-15-2024,False,premium
64,user64@gmail.com,,JONES,,F,U.S.A,organic_search,2024/03/22,No,premium
65,user65@gmail.com,JOHN,davis,150,female,United States,organic_search,2024/08/06,No,Basic
66,user66@gmail.com,,JONES,53,,usa,paid_search,2023-09-22,No,
67,user67@gmail.com,Sarah,,150,f,USA,email,2024-02-21,TRUE,Standard
68,user68@gmail.com,David,davis,twenty-five,,Canada,referral,2024/02/19,,Basic
69,user69@gmail.com,David,JONES,,F,usa,email,27-12-2023,0,
70,user70@gmail.com,Mike,Brown,150,male,GB,direct,07-02-2024,TRUE,Premium
71,user71@outlook.com,Mike,JONES,twenty-five,Male,U.S.A,social_media,2023-07-18,1,STANDARD
72,user72@gmail.com,Mike,,24,,U.S.A,email,2023/10/27,False,premium
73,user73@yahoo.com,David,,25,m,UK,email,2023-12-15,1,Standard
74,user74@gmail.com,David,Johnson,33,,CA,referral,06-02-2023,No,STANDARD
75,user75@gmail.com,jane,JONES,twenty-five,m,U.S.A,social_media,01-25-2024,1,STANDARD
76,user76@gmail.com,Sarah,Brown,34,Male,usa,social_media,04/12/2023,,Premium
77,user77@company.org,,,36,Female,U.S.A,social_media,10-06-2023,False,Premium
78,user78@outlook.com,,Brown,45,,usa,email,12/04/2024,TRUE,Standard
79,user79@outlook.com,,JONES,46,f,U.S.A,organic_search,2023/03/15,TRUE,STANDARD
80,user80@gmail.com,Jane,Smith,150,female,GB,email,06-07-2024,1,Premium
81,user81@gmail.com,,Smith,-5,,USA,referral,08/23/2023,False,STANDARD
82,user82@gmail.com,David,Williams,150,f,US,paid_search,2024/10/29,FALSE,premium
83,user83@gmail.com,Jane,Williams,150,f,U.S.A,organic_search,2023/12/08,,Premium
84,user84@outlook.com,Emily,Johnson,150,,USA,email,04-10-2024,False,premium
85,user85@outlook.com,,,150,M,usa,organic_search,25-02-2023,,Standard
86,user86@gmail.com,jane,Johnson,twenty-five,Female,United States,organic_search,22-10-2023,,Premium
87,user87@gmail.com,Sarah,Johnson,47,Male,UK,social_media,19-07-2024,,
88,user88@gmail.com,jane,,150,,United States,paid_search,2023/10/07,No,STANDARD
89,user89@gmail.com,Mike,Johnson,150,female,United Kingdom,referral,04-06-2024,1,Basic
90,user90@gmail.com,,,,f,United Kingdom,paid_search,2023/11/02,FALSE,Basic
91,user91@gmail.com,JOHN,,,Female,GB,email,2024/07/19,No,premium
92,user92@gmail.com,jane,,,f,USA,social_media,02/14/2023,,STANDARD
93,user93@gmail.com,jane,Johnson,150,M,United States,social_media,2023/12/06,Yes,Premium
94,user94@gmail.com,David,davis,150,F,Canada,paid_search,04-25-2024,True,Basic
95,user95@gmail.com,jane,Smith,57,Female,U.S.A,social_media,10/03/2024,0,premium
96,user96@gmail.com,Jane,,-5,M,USA,paid_search,11-04-2023,1,Basic
97,user97@gmail.com,Mike,Brown,150,,United States,paid_search,01/03/2024,Yes,Premium
98,user98@gmail.com,,Brown,twenty-five,Male,usa,organic_search,2024/09/16,TRUE,premium
99,user99@gmail.com,jane,JONES,twenty-five,Male,US,email,2023/09/19,FALSE,STANDARD
100,user100@gmail.com,JOHN,JONES,-5,Female,CA,email,2023/11/03,0,Standard
101,user101@gmail.com,,JONES,-5,M,CA,email,26-01-2024,1,STANDARD
102,user102@gmail.com,John,,-5,Female,GB,paid_search,03-12-2024,No,
103,user103@gmail.com,Mike,Johnson,75,male,UK,organic_search,2023-07-14,FALSE,
104,user104@outlook.com,Emily,,,Male,United Kingdom,paid_search,15-05-2023,,STANDARD
105,user105@gmail.com,David,,-5,female,US,direct,2023/10/07,0,Standard
106,user106@gmail.com,JOHN,davis,150,M,U.S.A,email,08-20-2023,0,premium
107,user107@gmail.com,David,,-5,F,usa,organic_search,2024/01/13,1,STANDARD
108,user108@gmail.com,,Brown,59,f,U.S.A,social_media,2024/07/28,0,Standard
109,user109@gmail.com,David,,25,Female,United Kingdom,email,02/16/2023,True,premium
110,user110@gmail.com,,,,m,US,email,2024/01/15,True,Basic
111,user111@gmail.com,Sarah,,,female,US,organic_search,03-02-2023,,
112,user112@outlook.com,Sarah,Johnson,150,F,usa,email,01-03-2024,1,Premium
113,user113@hotmail.com,,Brown,twenty-five,Female,GB,direct,12/08/2023,No,Basic
114,user114@gmail.com,,Smith,,Male,United Kingdom,referral,01-06-2023,Yes,Premium
115,user115@gmail.com,Mike,Smith,,,Canada,paid_search,2024-11-07,Yes,Basic
116,user116@company.org,,Johnson,65,f,UK,referral,23-02-2023,,STANDARD
117,user117@gmail.com,Sarah,Smith,twenty-five,male,UK,referral,2023-04-22,1,premium
118,user118@gmail.com,Jane,,150,F,US,email,16-02-2024,Yes,Premium
119,user119@outlook.com,JOHN,JONES,twenty-five,,CA,referral,2023-05-10,0,
